Title,Salary
Part-time Professor,9
Part-time Professor,11
Part-time Professor,11
Admin Support Associate,31
Admin Support Associate,34
Research Technician,38
Accounting Technician,40
Lecturer,42
Business Services Coordinator,43
Visiting Lecturer,46
Research Associate,46
Lecturer,47
Research Associate,48
Lecturer,50
Lecturer,55
Lecturer,56
Lecturer,56
Lecturer,57
Senior Lecturer,59
Imaging Coordinator,59
Technology Support Analyst,61
Assistant Professor,66
Assistant Professor,67
Associate Professor,67
Associate Professor,71
Associate Professor,71
Faculty,71
Assistant Professor,71
Associate Professor,71
Assistant Professor,72
Assistant Professor,72
Associate Professor,73
Faculty,75
Faculty,77
Senior Lecturer,77
Professor,94
Professor,95
Faculty,97
Professor,105
Professor,123
Professor/ Chair,134
Professor / Vice Chair,139
Distinguished Professor,141
